batch,first,inst_code,inst,major_code,major,second,plan_num
本科提前批,历史,0001,"北京大学(北京,公办)",28,马克思主义理论类(马克思主义理论),政治,1
本科提前批,历史,P018,"北京电子科技学院(北京,公办)(女)",0H,"行政管理(需面试政审,须达到特控线,招女生2名,报考外语语种为英语)",不限,2
本科提前批,历史,0030,"北京外国语大学(北京,公办)",11,俄语(外语口试等要求见2022年招生章程),不限,2
本科提前批,历史,0030,"北京外国语大学(北京,公办)",13,法语(外语口试等要求见2022年招生章程),不限,1
本科提前批,历史,0030,"北京外国语大学(北京,公办)",14,西班牙语(外语口试等要求见2022年招生章程),不限,1
本科提前批,历史,0030,"北京外国语大学(北京,公办)",15,阿拉伯语(外语口试等要求见2022年招生章程),不限,1
本科提前批,历史,0030,"北京外国语大学(北京,公办)",16,日语(外语口试等要求见2022年招生章程),不限,1
本科提前批,历史,0030,"北京外国语大学(北京,公办)",17,朝鲜语(外语口试等要求见2022年招生章程),不限,1
本科提前批,历史,0030,"北京外国语大学(北京,公办)",30,爱沙尼亚语(外语口试等要求见2022年招生章程),不限,1
本科提前批,历史,0032,"北京语言大学(北京,公办)",03,法语(只招英语考生),不限,1
本科提前批,历史,0032,"北京语言大学(北京,公办)",04,德语(只招英语考生),不限,1
本科提前批,历史,0032,"北京语言大学(北京,公办)",07,朝鲜语(韩国语)(只招英语考生),不限,1
本科提前批,历史,0032,"北京语言大学(北京,公办)",08,阿拉伯语(只招英语考生),不限,1
本科提前批,历史,0032,"北京语言大学(北京,公办)",10,意大利语(只招英语考生),不限,1
本科提前批,历史,0158,"大连海洋大学(大连,公办)",B4,"航海技术［无色盲(弱)、无复视.男生身高不低于160cm,双眼裸视力均能达4.7(0.5)及以上；或双眼裸眼视力均能达到4.0(0.1)及以上,且矫正视力均能达4.9(0.8)及以上；由于教学只安排英语授课,非英语语种考生不宜就读；由于工作性质特殊,女生不宜就读.具体见招生章程］(第一年在渤海校区就读,二年级后黄海或渤海校区就读)",化学,12
本科提前批,历史,0158,"大连海洋大学(大连,公办)",B5,"轮机工程［无色盲(弱)、无复视.男生身高不低于155cm,双眼裸视力均能达4.6(0.4)及以上；或双眼裸眼视力均能达到4.0(0.1)及以上,且矫正视力均能达4.6(0.4)及以上.由于教学只安排英语授课,非英语语种考生不宜就读；由于工作性质特殊,女生不宜就读.具体见招生章程］(第一年在渤海校区就读,二年级后黄海或渤海校区就读)",化学,3
本科提前批,历史,0145,"东北大学(沈阳,公办)",0A,公共管理类(法学、公共事业管理、行政管理、土地资源管理、新闻学)(须达到特控线),不限,30
本科提前批,历史,0145,"东北大学(沈阳,公办)",0B,人文科学试验班(思想政治教育、哲学)(须达到特控线),政治,20
本科提前批,历史,0145,"东北大学(沈阳,公办)",0C,外国语言文学类(英语、日语、俄语、德语)(只招收外语语种为英语的考生)(须达到特控线),不限,20
本科提前批,历史,0200,"东北师范大学(吉林,公办)(公费师范)",A1,小学教育(国家公费师范生),不限,1
本科提前批,历史,0200,"东北师范大学(吉林,公办)(公费师范)",A2,思想政治教育(国家公费师范生),政治,7
本科提前批,历史,0200,"东北师范大学(吉林,公办)(公费师范)",A3,汉语言文学(国家公费师范生),不限,8
本科提前批,历史,0200,"东北师范大学(吉林,公办)(公费师范)",A4,历史学(国家公费师范生),不限,4
本科提前批,历史,0200,"东北师范大学(吉林,公办)(公费师范)",A5,英语(国家公费师范生)(高考外语语种为英语),不限,5
本科提前批,历史,0200,"东北师范大学(吉林,公办)(公费师范)",AB,地理科学(国家公费师范生),化学,2
本科提前批,历史,0200,"东北师范大学(吉林,公办)(公费师范)",AE,学前教育(国家公费师范生),不限,1
本科提前批,历史,0246,"复旦大学(上海,公办)",16,马克思主义理论(望道班)(不转专业),政治,2
本科提前批,历史,J002,"国防科技大学(湖南,公办)",AA,外交学(军事外交)(指挥)(只招男生)(特控线上录取)(体检标准:其他专业合格)(只招英语考生),政治,1
本科提前批,历史,J002,"国防科技大学(湖南,公办)",AB,法语(军事翻译)(非指挥)(只招男生)(特控线上录取)(体检标准:其他专业合格)(只招英语考生),不限,1
本科提前批,历史,J002,"国防科技大学(湖南,公办)",AC,阿拉伯语(军事外交)(指挥)(只招男生)(特控线上录取)(体检标准:其他专业合格)(只招英语考生),不限,1
