batch,first,second,inst_code,inst,major_code,major,plan_num
专科批,物理,化,3093,阿克苏职业技术学院,45,石油工程技术,4
专科批,物理,不限,3093,阿克苏职业技术学院,6N,电气自动化技术,3
专科批,物理,不限,3093,阿克苏职业技术学院,8J,智能网联汽车技术,2
专科批,物理,不限,3093,阿克苏职业技术学院,1E,飞机机电设备维修,2
专科批,物理,不限,3093,阿克苏职业技术学院,27,护理,2
专科批,物理,不限,3093,阿克苏职业技术学院,31,康复治疗技术,2
专科批,物理,不限,3093,阿克苏职业技术学院,34,软件技术,2
本科批,历史,不限,0378,安徽财经大学,03,金融学,2
本科批,历史,不限,0378,安徽财经大学,07,国际经济与贸易,2
本科批,历史,不限,0378,安徽财经大学,09,工商管理类,2
本科批,历史,不限,0378,安徽财经大学,14,会计学,2
本科批,历史,不限,0378,安徽财经大学,17,财政学类,2
本科批,物理,化,0378,安徽财经大学,24,应用统计学,2
本科批,物理,不限,0378,安徽财经大学,04,保险学,4
本科批,物理,化,0378,安徽财经大学,26,计算机科学与技术,2
本科批,物理,不限,0378,安徽财经大学,07,国际经济与贸易,2
本科批,物理,不限,0378,安徽财经大学,12,电子商务,2
本科批,物理,不限,0378,安徽财经大学,13,管理科学与工程类,2
本科批,物理,不限,0378,安徽财经大学,14,会计学,2
本科批,物理,不限,0378,安徽财经大学,17,财政学类,2
本科批,物理,不限,0378,安徽财经大学,20,经济统计学,2
本科批,历史,不限,0357,安徽大学,1U,工商管理,2
本科批,历史,不限,0357,安徽大学,20,英语,2
本科批,历史,不限,0357,安徽大学,26,法学,3
本科批,历史,不限,0357,安徽大学,1F,汉语言文学,4
本科批,历史,不限,0357,安徽大学,1M,新闻传播学类,5
本科批,历史,不限,0357,安徽大学,1P,金融学,5
本科批,历史,不限,0357,安徽大学,1T,会计学,2
本科批,物理,化,0357,安徽大学,00,人工智能,6
本科批,物理,化,0357,安徽大学,A0,智能科学与技术,5
本科批,物理,化,0357,安徽大学,0X,机械设计制造及其自动化,3
本科批,物理,化,0357,安徽大学,10,集成电路设计与集成系统,3
本科批,物理,化,0357,安徽大学,0E,计算机科学与技术,3
本科批,物理,化,0357,安徽大学,T0,电子信息工程,3
本科批,物理,化,0357,安徽大学,0N,通信工程,3
本科批,物理,化,0357,安徽大学,0R,电气工程及其自动化,4
本科批,物理,化,0363,安徽工程大学,0F,高分子材料与工程,4
本科批,物理,化,0363,安徽工程大学,0K,纺织工程,2
本科批,物理,化,0363,安徽工程大学,15,给排水科学与工程,2
本科批,历史,不限,0360,安徽工业大学,1E,英语,1
本科批,历史,不限,0360,安徽工业大学,1T,劳动与社会保障,1
本科批,历史,不限,0360,安徽工业大学,03,经济学,1
本科批,物理,化,0360,安徽工业大学,02,冶金工程,3
本科批,物理,化,0360,安徽工业大学,11,建筑环境与能源应用工程,2
本科批,物理,化,0360,安徽工业大学,06,材料科学与工程,1
本科批,物理,化,0360,安徽工业大学,14,金属材料工程,5
本科批,物理,化,0360,安徽工业大学,0P,焊接技术与工程,2
本科批,物理,化,0360,安徽工业大学,1J,无机非金属材料工程,2
本科批,物理,化,0360,安徽工业大学,0S,化学工程与工艺,2
本科批,物理,化,0360,安徽工业大学,1N,应用化学,1
本科批,物理,化,0360,安徽工业大学,0T,化学生物学,2
本科批,物理,化,0360,安徽工业大学,1Q,资源循环科学与工程,4
本科批,物理,化,0360,安徽工业大学,0U,环境工程,3
本科批,物理,化,0360,安徽工业大学,1R,自动化,1
本科批,物理,化,0360,安徽工业大学,0Y,机械设计制造及其自动化,1
本科批,物理,化,0360,安徽工业大学,1Y,智能建造,2
