score,number,rank
674,10,10
673,1,11
672,0,11
671,2,13
670,0,13
669,2,15
668,3,18
667,7,25
666,1,26
665,3,29
664,4,33
663,4,37
662,0,37
661,3,40
660,4,44
659,6,50
658,4,54
657,4,58
656,6,64
655,7,71
654,12,83
653,4,87
652,5,92
651,9,101
650,11,112
649,9,121
648,8,129
647,8,137
646,11,148
645,8,156
644,6,162
643,10,172
642,14,186
641,14,200
640,10,210
639,8,218
638,14,232
637,17,249
636,16,265
635,14,279
634,15,294
633,20,314
632,18,332
631,20,352
630,21,373
629,22,395
628,17,412
627,24,436
626,26,462
625,28,490
624,18,508
623,24,532
622,17,549
621,22,571
620,30,601
619,36,637
618,36,673
617,31,704
616,38,742
615,22,764
614,38,802
613,28,830
612,38,868
611,29,897
610,43,940
609,24,964
608,34,998
607,45,1043
606,28,1071
605,31,1102
604,41,1143
603,50,1193
602,57,1250
601,45,1295
600,46,1341
599,39,1380
598,42,1422
597,49,1471
596,59,1530
595,49,1579
594,52,1631
593,50,1681
592,52,1733
591,52,1785
590,57,1842
589,63,1905
588,54,1959
587,53,2012
586,81,2093
585,61,2154
584,72,2226
583,78,2304
582,64,2368
581,61,2429
580,67,2496
579,76,2572
578,70,2642
577,75,2717
576,72,2789
575,75,2864
574,74,2938
573,65,3003
572,78,3081
571,69,3150
570,75,3225
569,71,3296
568,91,3387
567,69,3456
566,82,3538
565,94,3632
564,79,3711
563,98,3809
562,99,3908
561,103,4011
560,86,4097
559,87,4184
558,94,4278
557,92,4370
556,87,4457
555,106,4563
554,94,4657
553,104,4761
552,94,4855
551,96,4951
550,101,5052
549,114,5166
548,108,5274
547,89,5363
546,85,5448
545,108,5556
544,102,5658
543,90,5748
542,105,5853
541,130,5983
540,114,6097
539,121,6218
538,108,6326
537,120,6446
536,102,6548
535,121,6669
534,122,6791
533,141,6932
532,142,7074
531,166,7240
530,131,7371
529,111,7482
528,112,7594
527,131,7725
526,125,7850
525,136,7986
524,124,8110
523,126,8236
522,130,8366
521,111,8477
520,138,8615
519,146,8761
518,122,8883
517,162,9045
516,136,9181
515,132,9313
514,178,9491
513,141,9632
512,151,9783
511,130,9913
510,147,10060
509,148,10208
508,148,10356
507,143,10499
506,157,10656
505,174,10830
504,135,10965
503,153,11118
502,156,11274
501,158,11432
500,172,11604
499,160,11764
498,159,11923
497,156,12079
496,169,12248
495,154,12402
494,148,12550
493,170,12720
492,158,12878
491,181,13059
490,161,13220
489,145,13365
488,175,13540
487,184,13724
486,161,13885
485,166,14051
484,188,14239
483,179,14418
482,177,14595
481,178,14773
480,184,14957
479,142,15099
478,158,15257
477,174,15431
476,174,15605
475,183,15788
474,175,15963
473,183,16146
472,163,16309
471,178,16487
470,197,16684
469,183,16867
468,177,17044
467,185,17229
466,206,17435
465,199,17634
464,183,17817
463,184,18001
462,195,18196
461,162,18358
460,201,18559
459,190,18749
458,180,18929
457,191,19120
456,198,19318
455,190,19508
454,218,19726
453,195,19921
452,184,20105
451,197,20302
450,198,20500
449,207,20707
448,201,20908
447,189,21097
446,211,21308
445,180,21488
444,202,21690
443,203,21893
442,205,22098
441,212,22310
440,187,22497
439,199,22696
438,202,22898
437,183,23081
436,202,23283
435,193,23476
434,179,23655
433,207,23862
432,211,24073
431,204,24277
430,175,24452
429,192,24644
428,221,24865
427,202,25067
426,198,25265
425,221,25486
424,226,25712
423,220,25932
422,199,26131
421,186,26317
420,192,26509
419,228,26737
418,207,26944
417,208,27152
416,210,27362
415,215,27577
414,201,27778
413,223,28001
412,201,28202
411,198,28400
410,205,28605
409,230,28835
408,183,29018
407,194,29212
406,193,29405
405,200,29605
404,211,29816
403,212,30028
402,218,30246
401,205,30451
400,219,30670
399,183,30853
398,204,31057
397,185,31242
396,187,31429
395,200,31629
394,227,31856
393,208,32064
392,184,32248
391,214,32462
390,207,32669
389,203,32872
388,220,33092
387,178,33270
386,231,33501
385,210,33711
384,224,33935
383,209,34144
382,212,34356
381,207,34563
380,210,34773
379,193,34966
378,224,35190
377,196,35386
376,190,35576
375,199,35775
374,215,35990
373,195,36185
372,195,36380
371,199,36579
370,212,36791
369,203,36994
368,178,37172
367,223,37395
366,186,37581
365,186,37767
364,206,37973
363,193,38166
362,202,38368
361,185,38553
360,173,38726
359,192,38918
358,181,39099
357,174,39273
356,183,39456
355,200,39656
354,184,39840
353,151,39991
352,195,40186
351,198,40384
350,159,40543
349,178,40721
348,173,40894
347,185,41079
346,172,41251
345,197,41448
344,188,41636
343,163,41799
342,171,41970
341,182,42152
340,157,42309
339,144,42453
338,164,42617
337,152,42769
336,147,42916
335,173,43089
334,174,43263
333,155,43418
332,173,43591
331,147,43738
330,149,43887
329,160,44047
328,143,44190
327,130,44320
326,148,44468
325,144,44612
324,143,44755
323,144,44899
322,139,45038
321,157,45195
320,141,45336
319,132,45468
318,111,45579
317,129,45708
316,136,45844
315,119,45963
314,144,46107
313,117,46224
312,112,46336
311,119,46455
310,115,46570
309,100,46670
308,129,46799
307,106,46905
306,119,47024
305,117,47141
304,94,47235
303,92,47327
302,106,47433
301,91,47524
300,107,47631
299,98,47729
298,54,47783
297,106,47889
296,83,47972
295,101,48073
294,90,48163
293,86,48249
292,74,48323
291,70,48393
290,86,48479
289,79,48558
288,87,48645
287,86,48731
286,81,48812
285,80,48892
284,60,48952
283,62,49014
282,61,49075
281,61,49136
280,60,49196
279,65,49261
278,68,49329
277,57,49386
276,60,49446
275,67,49513
274,63,49576
273,53,49629
272,64,49693
271,59,49752
270,54,49806
269,59,49865
268,44,49909
267,53,49962
266,40,50002
265,39,50041
264,46,50087
263,38,50125
262,32,50157
261,43,50200
260,43,50243
259,43,50286
258,53,50339
257,42,50381
256,49,50430
255,40,50470
254,47,50517
253,33,50550
252,37,50587
251,32,50619
250,31,50650
249,30,50680
248,31,50711
247,29,50740
246,21,50761
245,21,50782
244,32,50814
243,26,50840
242,28,50868
241,26,50894
240,19,50913
239,20,50933
238,30,50963
237,27,50990
236,25,51015
235,20,51035
234,24,51059
233,20,51079
232,18,51097
231,22,51119
230,27,51146
229,24,51170
228,11,51181
227,14,51195
226,24,51219
225,11,51230
224,16,51246
223,13,51259
222,13,51272
221,17,51289
220,14,51303
219,11,51314
218,10,51324
217,11,51335
216,8,51343
215,9,51352
214,7,51359
213,3,51362
212,6,51368
211,12,51380
210,10,51390
209,11,51401
208,8,51409
207,7,51416
206,9,51425
205,6,51431
204,8,51439
203,4,51443
202,4,51447
201,7,51454
200,5,51459
199,5,51464
198,4,51468
197,4,51472
196,8,51480
195,7,51487
194,10,51497
193,4,51501
192,4,51505
191,1,51506
190,4,51510
189,7,51517
188,5,51522
187,2,51524
186,5,51529
185,4,51533
184,3,51536
183,2,51538
182,6,51544
181,4,51548
180,2,51550
179,1,51551
178,2,51553
177,3,51556
176,4,51560
175,4,51564
174,3,51567
173,2,51569
172,4,51573
171,1,51574
170,3,51577
169,0,51577
168,1,51578
167,1,51579
166,0,51579
165,2,51581
164,6,51587
163,2,51589
162,2,51591
161,1,51592
160,2,51594
159,0,51594
158,2,51596
157,1,51597
156,2,51599
155,1,51600
154,3,51603
153,4,51607
152,2,51609
151,3,51612
