inst_code,inst,major_code,major,min_score
0378,安徽财经大学,03,金融学,567
0378,安徽财经大学,06,经济与贸易类(国际经济与贸易、贸易经济),558
0378,安徽财经大学,08,工商管理类(工商管理、市场营销、人力资源管理),560
0378,安徽财经大学,18,会计学,593
0378,安徽财经大学,22,财政学类(财政学、税收学),578
0357,安徽大学,1A,汉语言文学,604
0357,安徽大学,1G,新闻传播学类(新闻学、广播电视学、编辑出版学、网络与新媒体),588
0357,安徽大学,1J,金融学,589
0357,安徽大学,1N,会计学,597
0357,安徽大学,1P,工商管理,592
0357,安徽大学,1V,英语,587
0357,安徽大学,21,法学,610
0360,安徽工业大学,03,经济学,546
0360,安徽工业大学,1E,英语,539
0360,安徽工业大学,1T,劳动与社会保障,533
0878,安徽建筑大学,1Z,法学,553
0878,安徽建筑大学,21,劳动与社会保障,522
0370,安徽师范大学,07,社会学,538
0370,安徽师范大学,47,地理科学(师范),569
0370,安徽师范大学,59,新闻学,559
0369,安徽中医药大学,06,中医学,577
0369,安徽中医药大学,09,中医骨伤科学,555
0369,安徽中医药大学,28,国际经济与贸易,507
0369,安徽中医药大学,31,医疗保险,518
0369,安徽中医药大学,32,养老服务管理,521
0369,安徽中医药大学,36,汉语国际教育,521
0369,安徽中医药大学,37,应用心理学,540
0369,安徽中医药大学,38,运动康复,557
1397,安康学院,01,思想政治教育(师范),514
0372,安庆师范大学,0G,国际经济与贸易,491
0667,安顺学院,01,中国共产党历史,487
0667,安顺学院,0V,旅游管理与服务教育,474
1330,安阳工学院,33,电子商务,481
0479,安阳师范学院,01,汉语言文学(师范),540
0479,安阳师范学院,03,历史学(师范),525
0479,安阳师范学院,20,思想政治教育(师范),532
0169,鞍山师范学院,11,思想政治教育(师范),520
0169,鞍山师范学院,12,社会工作,483
0169,鞍山师范学院,13,汉语言文学(师范),527
0169,鞍山师范学院,14,汉语国际教育,502
0169,鞍山师范学院,15,网络与新媒体,494
0169,鞍山师范学院,16,历史学(师范),515
0169,鞍山师范学院,17,英语(师范),504
0169,鞍山师范学院,18,日语,479
0169,鞍山师范学院,1A,会计学,517
0169,鞍山师范学院,1B,旅游管理,481
0169,鞍山师范学院,1C,酒店管理,477
0169,鞍山师范学院,1D,市场营销,484
0169,鞍山师范学院,1K,学前教育(师范),482
0169,鞍山师范学院,1L,小学教育(师范),505
0169,鞍山师范学院,1M,应用心理学(师范),502
0169,鞍山师范学院,1T,健康服务与管理,482
0169,鞍山师范学院,1U,养老服务管理,490
0206,白城师范学院,02,小学教育(师范),504
0206,白城师范学院,05,汉语言文学(师范),528
0206,白城师范学院,07,历史学(师范),518
0206,白城师范学院,15,地理科学(师范),522
0206,白城师范学院,A6,商务英语,481
0206,白城师范学院,C2,旅游管理,480
0206,白城师范学院,D5,财务管理,512
0206,白城师范学院,D6,物流管理,485
0609,百色学院,1F,人文地理与城乡规划,479
0609,百色学院,2F,市场营销,476
0609,百色学院,2G,财务管理,492
0609,百色学院,2M,城市管理,476
0609,百色学院,5A,国际经济与贸易,478
0609,百色学院,5D,历史学(师范),500
0609,百色学院,5F,学前教育(师范),481
0609,百色学院,5Y,新闻学,481
0609,百色学院,7K,小学教育(师范),490
0721,宝鸡文理学院,10,思想政治教育(师范),518
0721,宝鸡文理学院,14,外国语言文学类(英语、翻译),483
3891,保定理工学院,16,工商管理,454
3891,保定理工学院,17,市场营销,452
3891,保定理工学院,18,人力资源管理,452
3891,保定理工学院,20,会计学,464
3891,保定理工学院,21,经济学,454
3891,保定理工学院,24,财务管理,462
3891,保定理工学院,25,审计学,464
3891,保定理工学院,29,小学教育,450
0096,保定学院,11,汉语言文学(师范),549
0096,保定学院,22,知识产权,528
0096,保定学院,24,供应链管理,490
0096,保定学院,31,历史学(师范),532
