batch,inst_code,inst,major_code,major,first,second,plan_num
本科批,0413,赣南医学院,00,临床医学,物理,生物,2
本科批,2026,大连民族大学,00,经济学,物理,不限,2
本科批,0423,中国海洋大学,00,海洋科学,物理,不限,2
本科批,2026,大连民族大学,00,经济学,历史,不限,3
本科批,0819,呼伦贝尔学院,00,英语(师范类),历史,不限,3
本科批,3894,西安明德理工学院,00,英语,历史,不限,2
本科批,0726,西北政法大学,00,哲学,历史,不限,2
本科批,0041,中国人民公安大学,00,法学,历史,不限,4
本科批,9001,北京大学医学部,01,基础医学(本博连读),物理,化学,2
本科批,0010,北京化工大学,01,工科试验班(宏德书院)(化学工程与工艺、高分子材料与工程、生物工程),物理,化学,3
本科批,0631,重庆医科大学,01,临床医学(5+3一体化),物理,化学,1
本科批,9141,大连理工大学(盘锦校区),01,能源化学工程(能源、资源与生物化工新工科实验班),物理,化学,69
本科批,0161,大连医科大学,01,临床医学(5+3一体化),物理,化学,84
本科批,2617,广州城市理工学院,01,车辆工程,物理,化学,5
本科批,0595,桂林电子科技大学,01,机械设计制造及其自动化,物理,化学,3
本科批,1810,海南医学院,01,临床医学,物理,化学,6
本科批,6204,河北工业职业技术大学,01,钢铁智能冶金技术,物理,化学,3
本科批,D721,河北环境工程学院,01,环境科学,物理,化学,3
本科批,3596,华北理工大学冀唐学院,01,临床医学,物理,化学,10
本科批,0078,华北水利水电大学,01,水利水电工程,物理,化学,4
本科批,0192,吉林化工学院,01,化学工程与工艺,物理,化学,2
本科批,0390,集美大学,01,交通运输,物理,化学,3
本科批,0295,江南大学,01,食品科学与工程,物理,化学,2
本科批,0732,兰州交通大学,01,交通运输,物理,化学,4
本科批,3437,南昌医学院,01,临床医学,物理,化学,1
本科批,1065,青岛大学,01,环境科学与工程,物理,化学,3
本科批,0113,山西农业大学,01,农学(卓越人才实验班),物理,化学,1
本科批,0163,沈阳药科大学,01,药学类(药学、药物制剂、药物分析),物理,化学,440
本科批,0025,首都医科大学,01,临床医学(阶平班),物理,化学,2
本科批,0058,天津工业大学,01,纺织工程,物理,化学,3
本科批,0994,新疆工程学院,01,安全工程,物理,化学,3
本科批,1415,中国地质大学(北京),01,地质学(理科基地班),物理,化学,3
本科批,0624,中国民用航空飞行学院,01,思想政治教育,物理,政治,1
本科批,0117,长治医学院,01,临床医学,物理,化学&生物,7
本科批,0226,哈尔滨医科大学,01,临床医学(5+3一体化，于维汉班),物理,化学&生物,1
本科批,0089,河北医科大学,01,临床医学(5+3一体化),物理,化学&生物,4
本科批,3415,河北医科大学临床学院,01,临床医学,物理,化学&生物,3
本科批,0678,昆明医科大学,01,临床医学,物理,化学&生物,3
本科批,0132,内蒙古医科大学,01,蒙医学,物理,化学&生物,1
本科批,0114,山西医科大学,01,临床医学(5+3一体化),物理,化学&生物,3
本科批,3661,天津医科大学临床医学院,01,临床医学,物理,化学&生物,3
本科批,1840,西安医学院,01,临床医学,物理,化学&生物,2
本科批,0378,安徽财经大学,01,经济统计学,物理,不限,2
本科批,0357,安徽大学,01,数学类(数学与应用数学、信息与计算科学),物理,不限,4
本科批,0878,安徽建筑大学,01,土木工程,物理,不限,2
