batch,first,second,inst_code,inst,major_code,major,plan_num
本科提前批(非军事院校),历史,政治,0001,北京大学(北京，公办),30,马克思主义理论类(马克思主义理论),1
本科提前批(非军事院校),历史,不限,P018,北京电子科技学院(北京，公办),OG,行政管理(只招女生。报考外语语种为英语。需政审面试合格),2
本科提前批(非军事院校),历史,不限,0027,北京师范大学(北京，公办),0Q,俄语(要求外语语种为英语)(须参加外语口试),2
本科提前批(非军事院校),历史,不限,0027,北京师范大学(北京，公办),OR,日语(要求外语语种为英语)(须参加外语口试),2
本科提前批(非军事院校),历史,不限,0030,北京外国语大学(北京，公办)(综合评价招生),14,俄语(根据我校2025年本科招生章程及综合评价招生简章要求，报名参加综合评价招生的考生，须参加北外组织的测试且入围，无需高考外语口试成绩),1
本科提前批(非军事院校),历史,不限,0030,北京外国语大学(北京，公办)(综合评价招生),23,日语(日本研究)(根据我校2025年本科招生章程及综合评价招生简章要求，报名参加综合评价招生的考生，须参加北外组织的测试且人围，无需高考外语口试成绩),1
本科提前批(非军事院校),历史,不限,0030,北京外国语大学(北京，公办)(综合评价招生),30,泰语(根据我校2025年本科招生章程及综合评价招生简章要求，报名参加综合评价招生的考生，须参加北外组织的测试且入围，无需高考外语口试成绩),1
本科提前批(非军事院校),历史,不限,0030,北京外国语大学(北京，公办)(综合评价招生),35,葡萄牙语(法学)(根据我校2025年本科招生章程及综合评价招生简章要求，报名参加综合评价招生的考生，须参加北外组织的测试且入围，无需高考外语口试成绩),1
本科提前批(非军事院校),历史,不限,0030,北京外国语大学(北京，公办)(综合评价招生),37,塞尔维亚语(欧洲研究)(根据我校2025年本科招生章程及综合评价招生简章要求，报名参加综合评价招生的考生，须参加北外组织的测试且入围，无需高考外语口试成绩),1
本科提前批(非军事院校),历史,不限,0030,北京外国语大学(北京，公办)(综合评价招生),41,立陶宛语(欧洲研究)(根据我校2025年本科招生章程及综合评价招生简章要求，报名参加综合评价招生的考生，须参加北外组织的测试且入围，无需高考外语口试成绩),1
