score,number,rank
708,10,10
707,4,14
706,2,16
705,4,20
704,6,26
703,4,30
702,7,37
701,2,39
700,2,41
699,4,45
698,4,49
697,4,53
696,9,62
695,8,70
694,6,76
693,11,87
692,24,111
691,16,127
690,16,143
689,21,164
688,19,183
687,14,197
686,23,220
685,26,246
684,31,277
683,30,307
682,37,344
681,22,366
680,38,404
679,34,438
678,37,475
677,35,510
676,32,542
675,49,591
674,44,635
673,52,687
672,58,745
671,54,799
670,62,861
669,57,918
668,81,999
667,79,1078
666,81,1159
665,67,1226
664,83,1309
663,80,1389
662,98,1487
661,105,1592
660,100,1692
659,97,1789
658,103,1892
657,113,2005
656,101,2106
655,117,2223
654,123,2346
653,105,2451
652,138,2589
651,123,2712
650,155,2867
649,144,3011
648,137,3148
647,143,3291
646,141,3432
645,149,3581
644,168,3749
643,170,3919
642,168,4087
641,178,4265
640,170,4435
639,231,4666
638,181,4847
637,179,5026
636,213,5239
635,197,5436
634,179,5615
633,228,5843
632,185,6028
631,217,6245
630,215,6460
629,213,6673
628,230,6903
627,223,7126
626,241,7367
625,235,7602
624,241,7843
623,206,8049
622,275,8324
621,247,8571
620,242,8813
619,272,9085
618,254,9339
617,273,9612
616,256,9868
615,277,10145
614,240,10385
613,272,10657
612,254,10911
611,267,11178
610,255,11433
609,244,11677
608,266,11943
607,275,12218
606,294,12512
605,278,12790
604,276,13066
603,271,13337
602,287,13624
601,304,13928
600,307,14235
599,277,14512
598,298,14810
597,285,15095
596,346,15441
595,270,15711
594,290,16001
593,341,16342
592,306,16648
591,349,16997
590,304,17301
589,316,17617
588,300,17917
587,328,18245
586,335,18580
585,342,18922
584,350,19272
583,339,19611
582,340,19951
581,361,20312
580,384,20696
579,355,21051
578,318,21369
577,311,21680
576,370,22050
575,316,22366
574,346,22712
573,364,23076
572,365,23441
571,346,23787
570,340,24127
569,348,24475
568,385,24860
567,361,25221
566,365,25586
565,359,25945
564,366,26311
563,371,26682
562,350,27032
561,390,27422
560,361,27783
559,346,28129
558,357,28486
557,398,28884
556,380,29264
555,421,29685
554,348,30033
553,440,30473
552,423,30896
551,372,31268
550,406,31674
549,427,32101
548,386,32487
547,426,32913
546,428,33341
545,450,33791
544,420,34211
543,403,34614
542,420,35034
541,422,35456
540,392,35848
539,446,36294
538,434,36728
537,396,37124
536,417,37541
535,435,37976
534,401,38377
533,437,38814
532,436,39250
531,441,39691
530,428,40119
529,442,40561
528,406,40967
527,412,41379
526,461,41840
525,398,42238
524,454,42692
523,455,43147
522,427,43574
521,459,44033
520,454,44487
519,437,44924
518,412,45336
517,458,45794
516,473,46267
515,431,46698
514,459,47157
513,461,47618
512,430,48048
511,432,48480
510,436,48916
509,457,49373
508,451,49824
507,465,50289
506,472,50761
505,447,51208
504,429,51637
503,449,52086
502,467,52553
501,434,52987
500,447,53434
499,492,53926
498,477,54403
497,443,54846
496,461,55307
495,465,55772
494,454,56226
493,433,56659
492,418,57077
491,462,57539
490,454,57993
489,466,58459
488,465,58924
487,495,59419
486,452,59871
485,444,60315
484,482,60797
483,488,61285
482,438,61723
481,481,62204
480,463,62667
479,489,63156
478,459,63615
477,478,64093
476,458,64551
475,461,65012
474,479,65491
473,469,65960
472,466,66426
471,490,66916
470,453,67369
469,461,67830
468,490,68320
467,430,68750
466,472,69222
465,492,69714
464,471,70185
463,459,70644
462,441,71085
461,469,71554
460,438,71992
459,469,72461
458,467,72928
457,465,73393
456,459,73852
455,475,74327
454,439,74766
453,448,75214
452,476,75690
451,480,76170
450,482,76652
449,429,77081
448,496,77577
447,482,78059
446,466,78525
445,442,78967
444,454,79421
443,410,79831
442,474,80305
441,460,80765
440,442,81207
439,445,81652
438,462,82114
437,458,82572
436,442,83014
435,458,83472
434,441,83913
433,446,84359
432,438,84797
431,429,85226
430,454,85680
429,432,86112
428,463,86575
427,438,87013
426,427,87440
425,459,87899
424,443,88342
423,449,88791
422,394,89185
421,444,89629
420,455,90084
419,446,90530
418,432,90962
417,478,91440
416,422,91862
415,430,92292
414,422,92714
413,456,93170
412,440,93610
411,408,94018
410,445,94463
409,391,94854
408,414,95268
407,380,95648
406,436,96084
405,420,96504
404,449,96953
403,414,97367
402,421,97788
401,411,98199
400,449,98648
399,409,99057
398,392,99449
397,416,99865
396,456,100321
395,391,100712
394,406,101118
393,401,101519
392,378,101897
391,380,102277
390,402,102679
389,385,103064
388,376,103440
387,409,103849
386,418,104267
385,381,104648
384,412,105060
383,392,105452
382,375,105827
381,401,106228
380,394,106622
379,343,106965
378,388,107353
377,345,107698
376,403,108101
375,380,108481
374,422,108903
373,407,109310
372,392,109702
371,399,110101
370,342,110443
369,368,110811
368,363,111174
367,371,111545
366,366,111911
365,371,112282
364,338,112620
363,336,112956
362,340,113296
361,354,113650
360,298,113948
359,342,114290
358,335,114625
357,336,114961
356,325,115286
355,346,115632
354,304,115936
353,313,116249
352,302,116551
351,344,116895
350,307,117202
349,326,117528
348,318,117846
347,314,118160
346,303,118463
345,302,118765
344,304,119069
343,310,119379
342,291,119670
341,294,119964
340,265,120229
339,300,120529
338,282,120811
337,276,121087
336,317,121404
335,289,121693
334,298,121991
333,285,122276
332,288,122564
331,272,122836
330,285,123121
329,258,123379
328,303,123682
327,268,123950
326,289,124239
325,247,124486
324,264,124750
323,246,124996
322,256,125252
321,229,125481
320,233,125714
319,252,125966
318,238,126204
317,224,126428
316,245,126673
315,226,126899
314,209,127108
313,213,127321
312,229,127550
311,234,127784
310,196,127980
309,224,128204
308,205,128409
307,233,128642
306,231,128873
305,201,129074
304,212,129286
303,238,129524
302,211,129735
301,193,129928
300,203,130131
299,183,130314
298,188,130502
297,190,130692
296,183,130875
295,195,131070
294,212,131282
293,184,131466
292,174,131640
291,173,131813
290,185,131998
289,170,132168
288,184,132352
287,188,132540
286,160,132700
285,164,132864
284,161,133025
283,176,133201
282,167,133368
281,164,133532
280,203,133735
279,173,133908
278,147,134055
277,143,134198
276,154,134352
275,154,134506
274,146,134652
273,140,134792
272,124,134916
271,133,135049
270,148,135197
269,154,135351
268,163,135514
267,148,135662
266,151,135813
265,129,135942
264,150,136092
263,112,136204
262,119,136323
261,130,136453
260,132,136585
259,134,136719
258,118,136837
257,122,136959
256,112,137071
255,112,137183
254,126,137309
253,103,137412
