inst_code,inst,major_code,major,min_score
0001,北京大学,16,文科试验班类(文科基础类专业)(中国语言文学类),666
0002,中国人民大学,02,社会科学试验班(管理学科类)(资源与环境经济学、农林经济管理、农村区域发展、行政管理、城市管理、土地资源管理、信息资源管理、档案学),653
0002,中国人民大学,01,人文科学试验班[哲学、宗教学、伦理学、汉语言文学、汉语言、历史学、世界史、考古学、艺术管理(艺术管理专业选择遵循学生意愿，不设人数限制)],654
0002,中国人民大学,11,人力资源管理(经管试验班),654
0002,中国人民大学,10,国际政治,655
0002,中国人民大学,04,新闻传播学类(新闻学、广播电视学、广告学、传播学、国际新闻与传播),656
0002,中国人民大学,05,工商管理类[工商管理、财务管理、会计学、市场营销、管理科学(商业数据分析方向)、贸易经济],656
0002,中国人民大学,03,经济学类(经济学、国民经济管理、能源经济、国际经济与贸易、数字经济),660
0002,中国人民大学,06,金融学类(金融学、金融工程、保险学、信用管理),661
0002,中国人民大学,08,法学,663
0003,清华大学,1B,文科试验班类(通用基础类)[社会学(等专业)],668
0004,北京交通大学,14,外国语言文学类(英语、西班牙语、葡萄牙语),595
0004,北京交通大学,12,建筑类(建筑与规划)(建筑学、城乡规划),596
0004,北京交通大学,15,新闻传播学类(传播学、网络与新媒体),604
0004,北京交通大学,16,法学,616
0006,北京航空航天大学,12,社会科学试验班(经济学、行政管理、法学、英语、翻译、德语、法语),630
0007,北京理工大学,0C,社会科学试验班(精品文科班)[经济学、社会工作、法学、法学(含AI双学位)],619
0008,北京科技大学,25,外国语言文学类(英语、日语、德语),588
0008,北京科技大学,24,社会科学试验班[法学、行政管理、社会工作(社会管理)],601
0008,北京科技大学,23,工商管理类(数智经济与管理试验班)(工商管理、会计学、国际经济与贸易、金融工程),614
0009,北方工业大学,02,国际经济与贸易,556
0009,北方工业大学,05,英语,557
0009,北方工业大学,01,经济与金融,563
0009,北方工业大学,04,知识产权,571
0010,北京化工大学,10,英语,577
0010,北京化工大学,09,工商管理类(新文科经管法)(财务管理、会计学、工商管理、国际经济与贸易、公共事业管理、行政管理、法学),588
0010,北京化工大学,03,法学(卓越实验班),607
0012,北京服装学院,28,工商管理类(工商管理、市场营销、文化产业管理),519
0013,北京邮电大学,0F,英语,596
0013,北京邮电大学,0K,网络与新媒体,606
0013,北京邮电大学,0B,工商管理类[工商管理(智能化与创新管理)、公共事业管理(智慧城市与计算社会科学)],609
0013,北京邮电大学,0G,法学,617
0015,北京印刷学院,33,工商管理类(市场营销、财务管理、文化产业管理),440
0015,北京印刷学院,64,数字出版,519
0015,北京印刷学院,62,编辑出版学(韬奋实验班),540
0015,北京印刷学院,61,编辑出版学,545
0015,北京印刷学院,65,传播学(国际出版实验班),549
0019,中国农业大学,31,传播学(中外合作办学),586
0019,中国农业大学,35,市场营销,587
0019,中国农业大学,36,公共事业管理,591
0019,中国农业大学,32,农林经济管理(中外合作办学),601
0019,中国农业大学,30,国际经济与贸易(中外合作办学),602
0019,中国农业大学,25,社会学类(社会学、社会政策),611
0019,中国农业大学,26,英语,611
0019,中国农业大学,27,传播学,611
0019,中国农业大学,28,农村区域发展,611
0019,中国农业大学,43,工商管理类(工商管理、会计学),617
0019,中国农业大学,24,法学,618
0019,中国农业大学,22,经济学类(国际经济与贸易、金融学、农林经济管理),619
0022,北京林业大学,22,园艺(观赏园艺方向),573
0022,北京林业大学,42,日语,576
0022,北京林业大学,24,国际经济与贸易,583
0022,北京林业大学,29,工商管理类(会计学、工商管理、市场营销、人力资源管理、物业管理),584
0022,北京林业大学,40,英语,586
0022,北京林业大学,20,园林,589
0022,北京林业大学,19,风景园林,598
0026,北京中医药大学,19,英语(医学),583
0026,北京中医药大学,20,英语(中医药国际传播),588
0026,北京中医药大学,15,公共管理类[公共事业管理(卫生健康事业管理)、工商管理(大健康产业管理)],589
0026,北京中医药大学,18,法学(医药卫生),600
0027,北京师范大学,1G,戏剧影视文学,619
