inst_coed,inst,major_code,major,min_scroe
0001,北京大学,91,理科试验班类(物理科目组专业)(数学类),683
0003,清华大学,0M,临床医学类(临床医学),682
0003,清华大学,0N,理科试验班类(物理基础类)[电子信息类(等专业类)],682
9001,北京大学医学部,04,口腔医学(八年制),682
9001,北京大学医学部,02,临床医学(八年制),681
0246,复旦大学,19,数学类(拔尖学生培养基地)(数学与应用数学、信息与计算科学、数据科学与大数据技术),680
0248,上海交通大学,01,人工智能(卓越人才试点班),680
0248,上海交通大学,02,电子信息类(IEEE试点班，含双学士学位项目)(计算机科学与技术、信息工程、信息安全、自动化),680
9001,北京大学医学部,01,基础医学(八年制),680
9248,上海交通大学医学院,02,临床医学(本博连读法语班八年制),680
0246,复旦大学,25,工科试验班(新工科本研贯通)[智能科学与技术(卓越班)、微电子科学与工程(卓越班)、人工智能],678
0335,浙江大学,4T,工科试验班(竺可桢学院图灵班)(计算机科学与技术、信息安全、人工智能),678
9001,北京大学医学部,03,临床医学,678
9001,北京大学医学部,05,口腔医学,678
9001,北京大学医学部,07,药学,678
0246,复旦大学,17,经济学类(拔尖学生培养基地)[经济学、经济学(数理经济方向拔尖项目)、经济学(国际项目UIPE)、国际经济与贸易(国际经济学)、金融学、财政学、保险学],677
9248,上海交通大学医学院,03,临床医学(本博连读口腔方向八年制),677
0002,中国人民大学,06,金融学类(含双学士学位项目)(金融学、金融工程、保险学、信用管理),675
0248,上海交通大学,22,金融学(含金融学、计算机双学士学位项目),675
9001,北京大学医学部,06,预防医学,675
9248,上海交通大学医学院,01,临床医学(本博连读八年制),675
4430,中国科学院大学,0C,人工智能,674
9246,复旦大学医学院,61,临床医学(8年制本博连读，卓越医生计划),674
0246,复旦大学,51,技术科学试验班(拔尖学生培养基地)[微电子科学与工程、智能科学与技术(卓越班，智能系统方向)、电子信息科学与技术、通信工程、电气工程及其自动化、生物医学工程、光电信息科学与工程、信息安全、电子科学与技术、材料物理、计算机科学与技术、航空航天类、保密技术、数据科学与大数据技术],673
4430,中国科学院大学,0D,计算机科学与技术,673
0246,复旦大学,18,经济管理试验班(工商管理、财务管理、管理科学、信息管理与信息系统、会计学、市场营销、统计学),672
4430,中国科学院大学,0A,电气工程及其自动化,672
4430,中国科学院大学,0B,电子信息工程,672
0002,中国人民大学,03,经济学类(含双学士学位项目，拔尖人才培养基地)(经济学、国民经济管理、能源经济、国际经济与贸易、数字经济),671
0248,上海交通大学,21,经济管理试验班(含双学士学位项目)(经济学、金融学、会计学、工商管理、人力资源管理、大数据管理与应用),671
0248,上海交通大学,GA,工科试验班类(信息类)(电子信息类、生物医学工程),670
0284,南京大学,13,人工智能,670
0335,浙江大学,4A,工科试验班(车辆工程、能源与环境系统工程、机械工程、电气工程及其自动化、电子信息工程、工程力学、飞行器设计与工程、过程装备与控制工程),670
0335,浙江大学,4D,工科试验班(信息)(计算机科学与技术、信息安全、软件工程、光电信息科学与工程、电子科学与技术、微电子科学与工程、信息工程、自动化、生物医学工程、工业设计),670
0002,中国人民大学,05,工商管理类(含国际三学士学位项目、双学士学位项目)[工商管理、财务管理、会计学、市场营销、管理科学(商业数据分析方向)、贸易经济],669
0006,北京航空航天大学,01,工科试验班类(计算机拔尖计划)(计算机科学与技术),669
0006,北京航空航天大学,06,工科试验班类(未来空天领军计划)(智能飞行器技术、智能感知工程、智能制造工程、空天智能电推进技术、飞行器设计与工程、飞行器动力工程、材料科学与工程、交通运输),669
0246,复旦大学,33,自然科学试验班(拔尖学生培养基地)(物理学、大气科学、化学、应用化学、高分子材料与工程、生物科学、生物技术、生态学、环境科学、心理学、能源化学),669
0248,上海交通大学,L1,理科试验班类(含致远，吴文俊、李政道班，双学士学位项目)(数学与应用数学、统计学、物理学、应用物理学、天文学),669
0284,南京大学,12,计算机科学与技术,669
9001,北京大学医学部,08,英语(医学英语),669
0284,南京大学,10,金融工程(计算机金融实验班),668
9248,上海交通大学医学院,06,口腔医学(5+3一体化),668
9248,上海交通大学医学院,13,医学试验班(卓越医学创新班)[临床医学(五年制)],668
9335,浙江大学医学院,9A,临床医学(5+3一体化培养),668
0002,中国人民大学,12,理科试验班类(含双学士学位项目，拔尖人才培养基地)(统计学、应用统计学、经济统计学、数据科学与大数据技术、计算机科学与技术、信息管理与信息系统、信息安全、软件工程、数学与应用数学、数据计算及应用、人工智能),667
0248,上海交通大学,GB,工科试验班类(机电类)(机械类、航空航天工程、智慧能源工程),667
0284,南京大学,08,电子信息类(电子信息科学与技术、通信工程、微电子科学与工程),667
0284,南京大学,15,理科试验班类(匡亚明学院大理科班)[化学类(数学物理生物计算机天文)],667
4430,中国科学院大学,02,物理学,667
4430,中国科学院大学,0E,网络空间安全,667
0026,北京中医药大学,01,中医学(领军人才培养计划),666
0272,上海财经大学,05,金融学(双学士学位、金融学和统计学),666
